<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RIZ8 [SPBFUT],5,20180827,230000,107367.708997
RIZ8 [SPBFUT],5,20180827,230500,107373.023550
RIZ8 [SPBFUT],5,20180827,231000,107378.770399
RIZ8 [SPBFUT],5,20180827,231500,107384.234665
RIZ8 [SPBFUT],5,20180827,232000,107389.418581
RIZ8 [SPBFUT],5,20180827,232500,107394.877722
RIZ8 [SPBFUT],5,20180827,233000,107399.740349
RIZ8 [SPBFUT],5,20180827,233500,107404.169279
RIZ8 [SPBFUT],5,20180827,234000,107408.326044
RIZ8 [SPBFUT],5,20180827,234500,107412.845205
