<DATE>,<TIME>,<LAST>,<VOL>
20140618,095959,144.790000000,250
20140618,095959,144.790000000,5.000
20140618,095959,144.790000000,10
20140618,100000,144.980000000,1.540
20140618,100000,144.800000000,500
20140618,100001,144.700000000,300
20140618,100001,144.700000000,1.400
20140618,100002,144.640000000,80
20140618,100002,144.700000000,3.000

