<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],5,20180821,215000,107730.000000,107770.000000,107700.000000,107730.000000,843.000000
RIZ8 [SPBFUT],5,20180821,215500,107740.000000,107750.000000,107670.000000,107670.000000,650.000000
RIZ8 [SPBFUT],5,20180821,220000,107670.000000,107730.000000,107620.000000,107650.000000,980.000000
RIZ8 [SPBFUT],5,20180821,220500,107670.000000,107720.000000,107640.000000,107650.000000,585.000000
RIZ8 [SPBFUT],5,20180821,221000,107640.000000,107790.000000,107640.000000,107700.000000,708.000000
RIZ8 [SPBFUT],5,20180821,221500,107690.000000,107690.000000,107620.000000,107670.000000,389.000000
RIZ8 [SPBFUT],5,20180821,222000,107670.000000,107730.000000,107640.000000,107700.000000,276.000000
RIZ8 [SPBFUT],5,20180821,222500,107690.000000,107790.000000,107670.000000,107700.000000,487.000000
RIZ8 [SPBFUT],5,20180821,223000,107690.000000,107740.000000,107650.000000,107690.000000,246.000000
RIZ8 [SPBFUT],5,20180821,223500,107690.000000,107740.000000,107690.000000,107730.000000,122.000000
RIZ8 [SPBFUT],5,20180821,224000,107720.000000,107720.000000,107600.000000,107690.000000,763.000000
RIZ8 [SPBFUT],5,20180821,224500,107670.000000,107720.000000,107610.000000,107680.000000,404.000000
RIZ8 [SPBFUT],5,20180821,225000,107680.000000,107780.000000,107660.000000,107760.000000,490.000000
RIZ8 [SPBFUT],5,20180821,225500,107770.000000,107860.000000,107720.000000,107720.000000,1002.000000
RIZ8 [SPBFUT],5,20180821,230000,107710.000000,107720.000000,107640.000000,107650.000000,510.000000
RIZ8 [SPBFUT],5,20180821,230500,107660.000000,107670.000000,107630.000000,107660.000000,261.000000
RIZ8 [SPBFUT],5,20180821,231000,107660.000000,107660.000000,107610.000000,107620.000000,258.000000
RIZ8 [SPBFUT],5,20180821,231500,107640.000000,107650.000000,107610.000000,107650.000000,264.000000
RIZ8 [SPBFUT],5,20180821,232000,107650.000000,107660.000000,107620.000000,107630.000000,168.000000
RIZ8 [SPBFUT],5,20180821,232500,107650.000000,107660.000000,107620.000000,107650.000000,407.000000
RIZ8 [SPBFUT],5,20180821,233000,107650.000000,107710.000000,107610.000000,107650.000000,916.000000
RIZ8 [SPBFUT],5,20180821,233500,107640.000000,107730.000000,107640.000000,107700.000000,264.000000
RIZ8 [SPBFUT],5,20180821,234000,107710.000000,107800.000000,107670.000000,107800.000000,422.000000
RIZ8 [SPBFUT],5,20180821,234500,107780.000000,107910.000000,107750.000000,107870.000000,2089.000000
RIZ8 [SPBFUT],5,20180822,100000,107800.000000,107910.000000,107180.000000,107450.000000,12329.000000
RIZ8 [SPBFUT],5,20180822,100500,107440.000000,107520.000000,107240.000000,107290.000000,3408.000000
RIZ8 [SPBFUT],5,20180822,101000,107290.000000,107490.000000,107280.000000,107490.000000,2581.000000
RIZ8 [SPBFUT],5,20180822,101500,107470.000000,107600.000000,107220.000000,107240.000000,5200.000000
RIZ8 [SPBFUT],5,20180822,102000,107240.000000,107400.000000,107220.000000,107380.000000,2717.000000
RIZ8 [SPBFUT],5,20180822,102500,107370.000000,107380.000000,106970.000000,106980.000000,6391.000000
RIZ8 [SPBFUT],5,20180822,103000,106980.000000,106990.000000,106840.000000,106860.000000,5005.000000
RIZ8 [SPBFUT],5,20180822,103500,106860.000000,106970.000000,106770.000000,106970.000000,4710.000000
RIZ8 [SPBFUT],5,20180822,104000,106960.000000,107040.000000,106880.000000,107030.000000,2254.000000
RIZ8 [SPBFUT],5,20180822,104500,107030.000000,107100.000000,106850.000000,106980.000000,3737.000000
RIZ8 [SPBFUT],5,20180822,105000,106990.000000,107000.000000,106820.000000,106830.000000,2501.000000
RIZ8 [SPBFUT],5,20180822,105500,106830.000000,106990.000000,106830.000000,106980.000000,2243.000000
RIZ8 [SPBFUT],5,20180822,110000,106970.000000,107050.000000,106840.000000,106960.000000,2635.000000
RIZ8 [SPBFUT],5,20180822,110500,106960.000000,107300.000000,106960.000000,107200.000000,5067.000000
RIZ8 [SPBFUT],5,20180822,111000,107200.000000,107400.000000,107160.000000,107240.000000,3325.000000
RIZ8 [SPBFUT],5,20180822,111500,107240.000000,107300.000000,107160.000000,107260.000000,1655.000000
RIZ8 [SPBFUT],5,20180822,112000,107270.000000,107350.000000,107210.000000,107250.000000,1752.000000
RIZ8 [SPBFUT],5,20180822,112500,107250.000000,107290.000000,107080.000000,107080.000000,1762.000000
RIZ8 [SPBFUT],5,20180822,113000,107080.000000,107140.000000,106990.000000,107110.000000,1998.000000
RIZ8 [SPBFUT],5,20180822,113500,107120.000000,107280.000000,107110.000000,107280.000000,1976.000000
RIZ8 [SPBFUT],5,20180822,114000,107270.000000,107280.000000,107030.000000,107050.000000,1679.000000
RIZ8 [SPBFUT],5,20180822,114500,107070.000000,107140.000000,107010.000000,107080.000000,1033.000000
RIZ8 [SPBFUT],5,20180822,115000,107100.000000,107160.000000,107030.000000,107100.000000,837.000000
RIZ8 [SPBFUT],5,20180822,115500,107100.000000,107280.000000,107100.000000,107270.000000,2124.000000
RIZ8 [SPBFUT],5,20180822,120000,107260.000000,107270.000000,107060.000000,107180.000000,2616.000000
RIZ8 [SPBFUT],5,20180822,120500,107180.000000,107200.000000,107040.000000,107120.000000,1460.000000
RIZ8 [SPBFUT],5,20180822,121000,107110.000000,107340.000000,107100.000000,107220.000000,1984.000000
RIZ8 [SPBFUT],5,20180822,121500,107230.000000,107250.000000,107060.000000,107070.000000,2015.000000
RIZ8 [SPBFUT],5,20180822,122000,107070.000000,107070.000000,106820.000000,106910.000000,4820.000000
RIZ8 [SPBFUT],5,20180822,122500,106900.000000,106970.000000,106680.000000,106690.000000,5113.000000
RIZ8 [SPBFUT],5,20180822,123000,106690.000000,106850.000000,106680.000000,106830.000000,3382.000000
RIZ8 [SPBFUT],5,20180822,123500,106830.000000,107190.000000,106830.000000,107150.000000,5452.000000
RIZ8 [SPBFUT],5,20180822,124000,107150.000000,107150.000000,106900.000000,106910.000000,2721.000000
RIZ8 [SPBFUT],5,20180822,124500,106920.000000,106970.000000,106870.000000,106950.000000,1041.000000
RIZ8 [SPBFUT],5,20180822,125000,106940.000000,107080.000000,106920.000000,107080.000000,1089.000000
